laptop_ID,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_IDR,HDD,SSD,Flash Storage,Hybrid,Memory_2,Touchscreen,IPS,TypeResolution,x_res,y_res
11,HP,250 G6,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,500,Intel HD Graphics 620,No OS,1.86,6696300.0,1,0,0,0,0,0,0,0,1366,768
12,HP,250 G6,Notebook,15.6,1920x1080,Intel Core i3 6006U 2GHz,4,500,Intel HD Graphics 520,No OS,1.86,5864830.0,1,0,0,0,0,0,0,1,1920,1080
13,Apple,MacBook Pro,Ultrabook,15.4,2880x1800,Intel Core i7 2.8GHz,16,256,AMD Radeon Pro 555,macOS,1.83,41479490.0,0,1,0,0,0,0,1,0,2880,1800
14,Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i3 6006U 2GHz,4,256,AMD Radeon R5 M430,Windows 10,2.2,8481300.0,0,1,0,0,0,0,0,1,1920,1080
15,Apple,"MacBook 12""",Ultrabook,12.0,2304x1440,Intel Core M m3 1.2GHz,8,256,Intel HD Graphics 615,macOS,0.92,21460800.0,0,1,0,0,0,0,1,0,2304,1440
16,Apple,MacBook Pro,Ultrabook,13.3,2560x1600,Intel Core i5 2.3GHz,8,256,Intel Iris Plus Graphics 640,macOS,1.37,25815350.0,0,1,0,0,0,0,1,0,2560,1600
17,Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i7 7500U 2.7GHz,8,256,AMD Radeon R5 M430,Windows 10,2.2,12665000.0,0,1,0,0,0,0,0,1,1920,1080
18,Apple,MacBook Pro,Ultrabook,15.4,2880x1800,Intel Core i7 2.9GHz,16,512,AMD Radeon Pro 560,macOS,1.83,48586000.0,0,1,0,0,0,0,1,0,2880,1800
19,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,1920x1080,Intel Core i3 7100U 2.4GHz,8,1000,Nvidia GeForce 940MX,No OS,2.2,8483000.0,1,0,0,0,0,0,0,1,1920,1080
20,Dell,XPS 13,Ultrabook,13.3,1920x1080,Intel Core i5 8250U 1.6GHz,8,128,Intel UHD Graphics 620,Windows 10,1.22,16643000.0,0,1,0,0,0,1,1,1,1920,1080
21,Asus,Vivobook E200HA,Netbook,11.6,1366x768,Intel Atom x5-Z8350 1.44GHz,2,32,Intel HD Graphics 400,Windows 10,0.98,3262300.0,0,0,1,0,0,0,0,0,1366,768
22,Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128,Nvidia GeForce GTX 1050,Windows 10,2.5,16983000.0,1,1,0,0,1000,0,1,1,1920,1080
23,HP,255 G6,Notebook,15.6,1366x768,AMD E-Series E2-9000e 1.5GHz,4,500,AMD Radeon R2,No OS,1.86,4386000.0,1,0,0,0,0,0,0,0,1366,768
24,Dell,Inspiron 5379,2 in 1 Convertible,13.3,1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,1.62,13923000.0,0,1,0,0,0,1,0,1,1920,1080
25,HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Intel HD Graphics 620,Windows 10,1.91,11203000.0,0,1,0,0,0,0,0,1,1920,1080
26,Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,1000,Intel HD Graphics 520,Windows 10,2.3,7116880.0,1,0,0,0,0,0,0,0,1366,768
27,Apple,MacBook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8,128,Intel HD Graphics 6000,Mac OS X,1.35,18683000.0,0,0,1,0,0,0,0,0,1440,900
28,Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i5 8250U 1.6GHz,8,256,AMD Radeon 530,Windows 10,2.2,13600000.0,0,1,0,0,0,0,0,1,1920,1080
29,Dell,Latitude 5590,Ultrabook,15.6,1920x1080,Intel Core i7 8650U 1.9GHz,8,256,Intel UHD Graphics 620,Windows 10,1.88,22066000.0,0,1,0,0,256,0,0,1,1920,1080
30,HP,ProBook 470,Notebook,17.3,1920x1080,Intel Core i5 8250U 1.6GHz,8,1000,Nvidia GeForce 930MX,Windows 10,2.5,15232000.0,1,0,0,0,0,0,0,1,1920,1080
31,Chuwi,"LapBook 15.6""",Notebook,15.6,1920x1080,Intel Atom x5-Z8300 1.44GHz,4,64,Intel HD Graphics,Windows 10,1.89,4164830.0,0,0,1,0,0,0,0,1,1920,1080
32,Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.0,1366x768,AMD E-Series E2-6110 1.5GHz,2,32,AMD Radeon R2,Windows 10,1.65,3383000.0,0,0,1,0,0,0,0,0,1366,768
33,HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,1920x1080,AMD A6-Series 9220 2.5GHz,4,500,AMD Radeon 530,Windows 10,2.71,7463000.0,1,0,0,0,0,0,0,1,1920,1080
34,Dell,XPS 13,Ultrabook,13.3,3200x1800,Intel Core i7 8550U 1.8GHz,16,512,Intel UHD Graphics 620,Windows 10,1.2,31773000.0,0,1,0,0,0,1,0,2,3200,1800
35,Apple,MacBook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8,256,Intel HD Graphics 6000,Mac OS X,1.35,16966000.0,0,0,1,0,0,0,0,0,1440,900
36,Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,64,Intel HD Graphics 500,Windows 10,1.44,4233000.0,0,0,1,0,0,0,0,0,1366,768
37,Acer,Aspire 3,Notebook,15.6,1366x768,Intel Core i3 7130U 2.7GHz,4,1000,Intel HD Graphics 620,Linux,2.1,6239000.0,1,0,0,0,0,0,0,0,1366,768
38,Dell,Inspiron 5770,Notebook,17.3,1920x1080,Intel Core i5 8250U 1.6GHz,8,128,AMD Radeon 530,Windows 10,2.8,16643000.0,1,1,0,0,1000,0,1,1,1920,1080
39,HP,250 G6,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,1000,Intel HD Graphics 620,Windows 10,1.86,8307730.0,1,0,0,0,0,0,0,0,1366,768
40,HP,ProBook 450,Notebook,15.6,1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Nvidia GeForce 930MX ,Windows 10,2.1,14943000.0,0,1,0,0,0,0,0,1,1920,1080
41,Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,1920x1080,Intel Core i3 6006U 2GHz,4,1000,Intel HD Graphics 620,Linux,2.0,6613000.0,1,0,0,0,0,0,0,1,1920,1080
42,Dell,Inspiron 7577,Gaming,15.6,1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256,Nvidia GeForce GTX 1060,Windows 10,2.65,25483000.0,1,1,0,0,1000,0,1,1,1920,1080
43,Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8,1000,Nvidia GeForce 940MX,Linux,2.3,8890830.0,1,0,0,0,0,0,0,0,1366,768
44,Acer,Aspire A515-51G,Notebook,15.6,1920x1080,Intel Core i5 8250U 1.6GHz,4,256,Intel UHD Graphics 620,Windows 10,2.2,11594000.0,0,1,0,0,0,0,1,1,1920,1080
45,Dell,Inspiron 7773,2 in 1 Convertible,17.3,1920x1080,Intel Core i5 8250U 1.6GHz,12,1000,Nvidia GeForce 150MX,Windows 10,2.77,16983000.0,1,0,0,0,0,1,0,1,1920,1080
46,Apple,MacBook Pro,Ultrabook,13.3,2560x1600,Intel Core i5 2.0GHz,8,256,Intel Iris Graphics 540,macOS,1.37,24123000.0,0,1,0,0,0,0,1,0,2560,1600
47,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,128,Intel HD Graphics 520,No OS,2.2,6273000.0,0,1,0,0,0,0,0,0,1366,768
48,Asus,Rog Strix,Gaming,17.3,1920x1080,AMD Ryzen 1700 3GHz,8,256,AMD Radeon RX 580,Windows 10,3.2,22083000.0,1,1,0,0,1000,0,0,1,1920,1080
49,Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i5 7200U 2.5GHz,4,256,AMD Radeon R5 M430,Windows 10,2.3,10863000.0,0,1,0,0,0,0,0,1,1920,1080
50,Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4,1000,Nvidia GeForce 920MX,Windows 10,2.8,7922000.0,1,0,0,0,0,0,0,0,1366,768
51,Lenovo,Yoga Book,2 in 1 Convertible,10.1,1920x1200,Intel Atom x5-Z8550 1.44GHz,4,64,Intel HD Graphics 400,Android,0.69,5423000.0,0,0,1,0,0,1,1,0,1920,1200
52,Acer,Aspire A515-51G,Notebook,15.6,1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Nvidia GeForce MX150,Windows 10,2.2,14297000.0,0,1,0,0,0,0,1,1,1920,1080
53,HP,255 G6,Notebook,15.6,1920x1080,AMD A6-Series 9220 2.5GHz,4,256,AMD Radeon R4 Graphics,Windows 10,1.86,6774330.0,0,1,0,0,0,0,0,1,1920,1080
54,HP,ProBook 430,Notebook,13.3,1920x1080,Intel Core i7 8550U 1.8GHz,8,512,Intel UHD Graphics 620,Windows 10,1.49,18751000.0,0,1,0,0,0,0,0,1,1920,1080
55,Acer,Aspire 3,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4,1000,Intel HD Graphics 620,Windows 10,2.4,6528000.0,1,0,0,0,0,0,0,0,1366,768
56,Dell,Inspiron 3576,Notebook,15.6,1920x1080,Intel Core i7 8550U 1.8GHz,8,256,AMD Radeon 520,Windows 10,2.13,13052600.0,0,1,0,0,0,0,0,1,1920,1080
57,HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,1920x1080,Intel Core i3 6006U 2GHz,4,128,Intel HD Graphics 520,Windows 10,1.91,7463000.0,0,1,0,0,0,0,0,1,1920,1080
58,Asus,VivoBook Max,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,256,Intel HD Graphics 620,Windows 10,2.0,9965230.0,0,1,0,0,0,0,0,0,1366,768
59,MSI,GS73VR 7RG,Gaming,17.3,1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256,Nvidia GeForce GTX 1070,Windows 10,2.43,41633000.0,1,1,0,0,2000,0,0,1,1920,1080
60,Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,1920x1080,Intel Core i3 6006U 2GHz,4,256,Intel HD Graphics 520,Linux,2.0,7055000.0,0,1,0,0,0,0,0,1,1920,1080
61,Dell,Inspiron 5770,Notebook,17.3,1920x1080,Intel Core i7 8550U 1.8GHz,16,256,AMD Radeon 530,Windows 10,2.8,22083000.0,1,1,0,0,2000,0,0,1,1920,1080
62,Dell,Vostro 5471,Ultrabook,14.0,1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,1.7,14943000.0,0,1,0,0,0,0,0,1,1920,1080
63,Lenovo,IdeaPad 520S-14IKB,Notebook,14.0,1920x1080,Intel Core i3 7130U 2.7GHz,8,256,Intel HD Graphics 620,No OS,1.7,10183000.0,0,1,0,0,0,0,1,1,1920,1080
64,Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14.0,1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,1.4,15997000.0,0,1,0,0,0,0,0,1,1920,1080
66,HP,250 G6,Notebook,15.6,1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,1.86,11730000.0,0,1,0,0,0,0,0,1,1920,1080
67,Asus,ZenBook Pro,Ultrabook,15.6,1920x1080,Intel Core i7 7700HQ 2.8GHz,16,512,Nvidia GeForce GTX 1050 Ti,Windows 10,1.8,33711000.0,0,1,0,0,0,0,0,1,1920,1080
68,HP,250 G6,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,500,AMD Radeon 520,Windows 10,1.86,7457730.0,1,0,0,0,0,0,0,0,1366,768
69,HP,Stream 14-AX040wm,Notebook,14.0,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4,32,Intel HD Graphics 400,Windows 10,1.44,3893000.0,0,1,0,0,0,0,0,0,1366,768
70,Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,1920x1080,Intel Core i5 7200U 2.5GHz,4,1000,Intel HD Graphics 620,Windows 10,1.9,9333000.0,1,0,0,0,0,0,0,1,1920,1080
71,Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,1920x1080,Intel Core i7 7700HQ 2.8GHz,12,1000,Nvidia GeForce GTX 1050 Ti,Linux,3.0,16133000.0,1,0,0,0,0,0,0,1,1920,1080
72,Microsoft,Surface Laptop,Ultrabook,13.5,2256x1504,Intel Core i5 7200U 2.5GHz,4,128,Intel HD Graphics 620,Windows 10 S,1.252,18513000.0,0,1,0,0,0,1,0,0,2256,1504
73,Dell,Inspiron 5370,Ultrabook,13.3,1920x1080,Intel Core i7 8550U 1.8GHz,8,256,AMD Radeon 530,Windows 10,1.4,16235000.0,0,1,0,0,0,0,1,1,1920,1080
74,Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i7 8550U 1.8GHz,8,256,AMD Radeon 530,Windows 10,2.2,14790000.0,0,1,0,0,0,0,0,1,1920,1080
75,MSI,GL72M 7RDX,Gaming,17.3,1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128,Nvidia GeForce GTX 1050,Windows 10,2.7,18615000.0,1,1,0,0,1000,0,0,1,1920,1080
76,Acer,Aspire E5-475,Notebook,14.0,1366x768,Intel Core i3 6006U 2GHz,8,1000,Intel HD Graphics 520,Windows 10,2.1,6613000.0,1,0,0,0,0,0,0,0,1366,768
77,Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1000,Nvidia GeForce GTX 1050,Windows 10,2.2,16133000.0,1,0,0,0,0,0,0,1,1920,1080
78,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1920x1080,Intel Core i5 7200U 2.5GHz,8,2000,Intel HD Graphics 620,No OS,2.2,8823000.0,1,0,0,0,0,0,0,1,1920,1080
79,Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i7 8550U 1.8GHz,8,128,Intel UHD Graphics 620,Windows 10,2.02,14535000.0,1,1,0,0,1000,0,0,1,1920,1080
80,Acer,Aspire A515-51G-32MX,Notebook,15.6,1920x1080,Intel Core i3 7130U 2.7GHz,4,1000,Nvidia GeForce MX130,Windows 10,2.2,9010000.0,1,0,0,0,0,0,0,1,1920,1080
81,HP,ProBook 470,Notebook,17.3,1920x1080,Intel Core i5 8250U 1.6GHz,8,128,Nvidia GeForce 930MX,Windows 10,2.5,16609000.0,1,1,0,0,1000,0,0,1,1920,1080
82,Dell,Latitude 5590,Ultrabook,15.6,1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,1.88,18634720.0,0,1,0,0,0,0,1,1,1920,1080
83,Apple,"MacBook 12""",Ultrabook,12.0,2304x1440,Intel Core i5 1.3GHz,8,512,Intel HD Graphics 615,macOS,0.92,25670000.0,0,1,0,0,0,0,1,0,2304,1440
84,HP,ProBook 440,Notebook,14.0,1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel HD Graphics 620,Windows 10,1.63,14620000.0,0,1,0,0,0,0,0,1,1920,1080
85,Lenovo,IdeaPad 320-15AST,Notebook,15.6,1920x1080,AMD A6-Series 9220 2.5GHz,4,128,AMD R4 Graphics,Windows 10,2.2,6783000.0,0,1,0,0,0,0,0,1,1920,1080
86,Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4,1000,AMD Radeon R5,Windows 10,2.1,6715000.0,1,0,0,0,0,0,0,0,1366,768
87,Dell,Inspiron 7577,Gaming,15.6,1920x1080,Intel Core i7 7700HQ 2.8GHz,16,128,Nvidia GeForce GTX 1050 Ti,Windows 10,2.65,22933000.0,1,1,0,0,1000,0,1,1,1920,1080
88,HP,Pavilion 15-CK000nv,Ultrabook,15.6,1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Nvidia GeForce GTX 940MX,Windows 10,1.83,11883000.0,0,1,0,0,0,0,1,1,1920,1080
89,HP,250 G6,Notebook,15.6,1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,1.96,10182830.0,0,1,0,0,0,0,0,1,1920,1080
90,Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,1920x1080,Intel Core i7 7700HQ 2.8GHz,16,128,Nvidia GeForce GTX 1060,Windows 10,2.2,24633000.0,1,1,0,0,1000,0,1,1,1920,1080
91,Dell,XPS 13,Ultrabook,13.3,1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows 10,1.21,28033000.0,0,1,0,0,0,0,1,1,1920,1080
92,Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,1920x1080,AMD FX 9830P 3GHz,8,1000,AMD Radeon RX 560,Windows 10,2.45,11883000.0,1,0,0,0,0,0,0,1,1920,1080
93,Acer,Aspire 5,Notebook,15.6,1920x1080,Intel Core i7 8550U 1.8GHz,8,1000,Nvidia GeForce MX150,Windows 10,2.2,11713000.0,1,0,0,0,0,0,0,1,1920,1080
94,HP,Probook 430,Notebook,13.3,1920x1080,Intel Core i7 8550U 1.8GHz,16,512,Intel UHD Graphics 620,Windows 10,1.49,20349000.0,0,1,0,0,0,0,0,1,1920,1080
95,Dell,Inspiron 7577,Gaming,15.6,1920x1080,Intel Core i5 7300HQ 2.5GHz,8,256,Nvidia GeForce GTX 1060,Windows 10,2.65,20315000.0,0,1,0,0,0,0,0,1,1920,1080
96,Asus,Zenbook UX430UA,Ultrabook,14.0,1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows 10,1.25,17833000.0,0,1,0,0,0,0,0,1,1920,1080
97,Acer,Spin 5,2 in 1 Convertible,13.3,1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,1.5,14399000.0,0,1,0,0,0,1,1,1,1920,1080
98,Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i7 7500U 2.7GHz,8,1000,AMD Radeon R5 M430,Linux,2.2,10198300.0,1,0,0,0,0,0,0,1,1920,1080
99,Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i3 6006U 2GHz,4,256,AMD Radeon R5 M430,Linux,2.2,8245000.0,0,1,0,0,0,0,0,1,1920,1080
100,Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,1920x1080,Intel Core i3 7100U 2.4GHz,6,256,Nvidia GeForce 920M,Windows 10,2.0,9809000.0,0,1,0,0,0,0,0,1,1920,1080
102,HP,Omen 15-ce007nv,Gaming,15.6,1920x1080,Intel Core i7 7700HQ 2.8GHz,12,128,Nvidia GeForce GTX 1050,Windows 10,2.62,21233000.0,1,1,0,0,1000,0,1,1,1920,1080
103,HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,1920x1080,Intel Core i7 7500U 2.7GHz,8,256,AMD Radeon 530,Windows 10,1.91,12223000.0,0,1,0,0,0,0,0,1,1920,1080
104,HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.6,1920x1080,AMD E-Series E2-9000e 1.5GHz,4,500,AMD Radeon R2,Windows 10,2.1,5933000.0,1,0,0,0,0,0,0,1,1920,1080
105,Dell,Inspiron 3576,Notebook,15.6,1920x1080,Intel Core i5 8250U 1.6GHz,8,1000,AMD Radeon 520,Linux,2.2,10999000.0,1,0,0,0,0,0,0,1,1920,1080
106,HP,Envy 13-ad009n,Ultrabook,13.3,1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Nvidia GeForce MX150,Windows 10,1.38,19023000.0,0,1,0,0,0,0,1,1,1920,1080
107,Microsoft,Surface Laptop,Ultrabook,13.5,2256x1504,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10 S,1.252,22780000.0,0,1,0,0,0,1,0,0,2256,1504
108,HP,Pavilion 14-BK001nv,Notebook,14.0,1920x1080,Intel Core i5 7200U 2.5GHz,6,256,Nvidia GeForce 940MX,Windows 10,1.58,11203000.0,0,1,0,0,0,0,1,1,1920,1080
109,Lenovo,Ideapad 310-15ISK,Notebook,15.6,1920x1080,Intel Core i3 6006U 2GHz,4,1000,Intel HD Graphics 520,Windows 10,1.85,7053300.0,1,0,0,0,0,0,0,1,1920,1080
110,Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.0,1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Nvidia GeForce 940MX,Windows 10,1.3,20281000.0,0,1,0,0,0,0,1,1,1920,1080
111,MSI,GP62M 7REX,Gaming,15.6,1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256,Nvidia GeForce GTX 1050 Ti,Windows 10,2.2,22083000.0,1,1,0,0,1000,0,0,1,1920,1080
112,Lenovo,Thinkpad T470,Notebook,14.0,1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows 10,1.58,25160000.0,0,1,0,0,0,0,1,1,1920,1080
113,Asus,VivoBook S15,Ultrabook,15.6,1920x1080,Intel Core i7 8550U 1.8GHz,16,256,Nvidia GeForce MX150,Windows 10,1.5,21454000.0,1,1,0,0,1000,0,0,1,1920,1080
114,Dell,XPS 13,Ultrabook,13.3,3200x1800,Intel Core i7 7560U 2.4GHz,8,256,Intel Iris Plus Graphics 640,Windows 10,1.23,23443000.0,0,1,0,0,0,1,0,2,3200,1800
115,Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,1.37,23783000.0,0,1,0,0,0,1,1,1,1920,1080
116,HP,Probook 440,Notebook,14.0,1366x768,Intel Core i5 8250U 1.6GHz,4,500,Intel UHD Graphics 620,Windows 10,1.63,12274000.0,1,0,0,0,0,0,1,0,1366,768
117,Dell,XPS 13,Ultrabook,13.3,1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,1.21,27693000.0,0,1,0,0,0,0,1,1,1920,1080
118,HP,Spectre x360,2 in 1 Convertible,13.3,1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,1.26,23782830.0,0,1,0,0,0,1,1,1,1920,1080
119,HP,Probook 440,Notebook,14.0,1920x1080,Intel Core i7 8550U 1.8GHz,8,512,Intel UHD Graphics 620,Windows 10,1.63,18428000.0,0,1,0,0,0,0,0,1,1920,1080
120,Dell,Inspiron 7570,Notebook,15.6,1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Nvidia GeForce 940MX,Windows 10,2.16,19215610.0,1,1,0,0,1000,0,1,1,1920,1080
121,Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,17.3,1920x1080,Intel Core i3 6006U 2GHz,4,1000,Nvidia GeForce 920MX,Windows 10,2.0,9588000.0,1,0,0,0,0,0,0,1,1920,1080
122,Asus,VivoBook S15,Notebook,15.6,1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Nvidia GeForce 940MX,Windows 10,1.7,19006000.0,0,1,0,0,0,0,0,1,1920,1080
123,Acer,Spin 3,Notebook,15.6,1920x1080,Intel Core i3 7100U 2.4GHz,6,1000,Intel HD Graphics 620,Windows 10,2.1,8143000.0,1,0,0,0,0,1,1,1,1920,1080
124,MSI,GS63VR 7RG,Gaming,15.6,1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256,Nvidia GeForce GTX 1070,Windows 10,1.8,38105500.0,1,1,0,0,2000,0,0,1,1920,1080
125,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Nvidia GeForce 940MX,No OS,2.2,10693000.0,0,1,0,0,0,0,0,1,1920,1080
126,HP,Probook 470,Notebook,17.3,1920x1080,Intel Core i7 8550U 1.8GHz,16,512,Nvidia GeForce 930MX ,Windows 10,2.5,21607000.0,0,1,0,0,0,0,0,1,1920,1080
127,Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4,256,AMD Radeon R5,Windows 10,2.1,7667000.0,0,1,0,0,0,0,0,0,1366,768
128,HP,250 G6,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4,500,Intel HD Graphics 400,No OS,1.86,4403000.0,1,0,0,0,0,0,0,0,1366,768
129,HP,Probook 440,Notebook,14.0,1920x1080,Intel Core i5 8250U 1.6GHz,8,1000,Intel UHD Graphics 620,Windows 10,1.63,13804000.0,1,0,0,0,0,0,0,1,1920,1080
130,Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,14.0,1366x768,AMD E-Series 6110 1.5GHz,4,64,AMD Radeon R2,Windows 10 S,1.65,4725830.0,0,1,0,0,0,0,0,0,1366,768
